handle,product_gid,status,type,title,proposed_vendor,confidence,evidence,action
angludet-2019,gid://shopify/Product/7975731691676,ARCHIVED,wine,Angludet 2021,Château Angludet,high,bordeaux-shorthand,PUSHED
angludet-2020,gid://shopify/Product/7969896857756,ACTIVE,wine,Angludet 2021,Château Angludet,high,bordeaux-shorthand,PUSHED
angludet-half-2020,gid://shopify/Product/7967891161244,ACTIVE,wine,Angludet Half 2020,Château Angludet,high,bordeaux-shorthand,PUSHED
au-vodka-blue-raspberry-gift-70cl,gid://shopify/Product/7664464330908,DRAFT,vodka,"Au Vodka Blue Raspberry Gift Pack, 70cl",AU Vodka,high,known-brand,PUSHED
balfour-brut-rose-2008,gid://shopify/Product/7953041850524,ACTIVE,wine,Balfour Brut Rose 2008,Balfour,high,corroborated x2,PUSHED
balfour-brut-rose-2018,gid://shopify/Product/7972063740060,ACTIVE,wine,Balfour Brut Rose 2019,Balfour,high,corroborated x2,PUSHED
barons-de-rothschild-brut-kosher,gid://shopify/Product/7953055252636,ACTIVE,champagne,Barons de Rothschild Brut (Kosher),Barons de Rothschild,high,corroborated x2,PUSHED
barons-de-rothschild-rare-collection-blanc-de-blancs-2012-75cl,gid://shopify/Product/15392051134839,ACTIVE,champagne,Barons de Rothschild Rare Collection Blanc de Blancs 2012 - 75cl,Barons de Rothschild,high,corroborated x2,PUSHED
batard-montrachet-etienne-sauzet-1996,gid://shopify/Product/7953068720284,ACTIVE,wine,Batard Montrachet Etienne Sauzet 1996,Etienne Sauzet,high,corroborated x3,PUSHED
bienvenues-batard-montrachet-domaine-leflaive-2001,gid://shopify/Product/7957131067548,ACTIVE,wine,Bienvenues Batard Montrachet Domaine Leflaive 2001,Domaine Leflaive,high,corroborated x2,PUSHED
bombay-sapphire-gin-and-tonic-premix-250ml-can,gid://shopify/Product/8021175107740,DRAFT,gin,Bombay Sapphire Gin and Tonic Premix 250ml Can,Bombay Sapphire,high,known-brand,PUSHED
bombay-sapphire-premier-cru-murcian-lemon-gin,gid://shopify/Product/7477685813404,DRAFT,gin,Bombay Sapphire Premier Cru Murcian Lemon Gin 70cl,Bombay Sapphire,high,known-brand,PUSHED
bonnes-mares-georges-roumier-2000,gid://shopify/Product/7953205395612,ACTIVE,wine,Bonnes Mares Georges Roumier 2000 Magnum,Georges Roumier,high,corroborated x2,PUSHED
bourgneuf-2019,gid://shopify/Product/7965254156444,ACTIVE,wine,Bourgneuf 2019,Bourgneuf,high,corroborated x4,PUSHED
bourgneuf-2020,gid://shopify/Product/7965047849116,ARCHIVED,wine,Bourgneuf 2020,Bourgneuf,high,corroborated x4,PUSHED
bourgneuf-half-2019,gid://shopify/Product/7987727466652,ACTIVE,wine,Bourgneuf Half 2019,Bourgneuf,high,corroborated x4,PUSHED
bourgneuf-half-2020,gid://shopify/Product/7975267631260,ARCHIVED,wine,Bourgneuf Half 2020,Bourgneuf,high,corroborated x4,PUSHED
bourgogne-blanc-domaine-leflaive-2021,gid://shopify/Product/7943272038556,ACTIVE,wine,Bourgogne Blanc Domaine Leflaive 2021,Domaine Leflaive,high,corroborated x2,PUSHED
bourgogne-chardonnay-jean-jacques-girard-2021,gid://shopify/Product/7953165254812,ACTIVE,wine,Bourgogne Chardonnay Jean Jacques Girard 2021,Jean Jacques Girard,high,corroborated x3,PUSHED
bourgogne-chardonnay-jean-jacques-girard-2022,gid://shopify/Product/7964414738588,ARCHIVED,wine,Bourgogne Chardonnay Jean Jacques Girard 2021,Jean Jacques Girard,high,corroborated x3,PUSHED
bourgogne-chardonnay-paul-pillot-2016,gid://shopify/Product/7943732691100,ACTIVE,wine,Bourgogne Chardonnay Paul Pillot 2016,Paul Pillot,high,corroborated x2,PUSHED
bourgogne-chardonnay-paul-pillot-2021,gid://shopify/Product/7943976878236,ACTIVE,wine,Bourgogne Chardonnay Paul Pillot 2021,Paul Pillot,high,corroborated x2,PUSHED
bourgogne-pinot-noir-odoul-coquard-2021,gid://shopify/Product/7944715436188,ACTIVE,wine,Bourgogne Pinot Noir Odoul Coquard 2021,Odoul Coquard,high,corroborated x2,PUSHED
brane-cantenac-half-2019,gid://shopify/Product/7985293197468,ACTIVE,wine,Brane Cantenac Half 2019,Château Brane Cantenac,high,bordeaux-shorthand,PUSHED
brewdog-punk-ipa-pale-ale-12x-440ml-cans,gid://shopify/Product/7483893776540,DRAFT,beers,Brewdog Punk IPA Pale Ale 12x 440ml Cans,BrewDog,high,known-brand,PUSHED
ca-dei-frati-cuvee-dei-frati-brut,gid://shopify/Product/7697903485084,ACTIVE,wine,"Ca' dei Frati, Cuvée dei Frati Brut 75cl",Ca' dei Frati,high,corroborated x2,PUSHED
ca-dei-frati-pratto-2020,gid://shopify/Product/7713558462620,ACTIVE,wine,"Ca' dei Frati, `Pratto` 2020 75cl",Ca' dei Frati,high,corroborated x2,PUSHED
canon-half-2018,gid://shopify/Product/7987716030620,ACTIVE,wine,Canon Half 2018,Château Canon,high,bordeaux-shorthand,PUSHED
canon-magnum-2019,gid://shopify/Product/7963947106460,ACTIVE,wine,Canon Magnum 2019,Château Canon,high,bordeaux-shorthand,PUSHED
captain-morgan-spiced-rum-cola-premix-250ml,gid://shopify/Product/8021290614940,DRAFT,Rum,Captain Morgan Spiced Rum & Cola Premix 250ml,Captain Morgan,high,known-brand,PUSHED
castello-di-tassarolo-il-castello-2022,gid://shopify/Product/7808628588700,ACTIVE,wine,Castello di Tassarolo 'Il Castello' 2022,Castello di Tassarolo,high,estate,PUSHED
caviar-house-finest-almas-white-caviar-diamond-of-the-caspian,gid://shopify/Product/15496364065143,ACTIVE,Caviar,Caviar House Finest Almas White Caviar - Diamond of the Caspian,Caviar House,high,known-brand,PUSHED
certan-de-may-2020,gid://shopify/Product/7975619526812,ACTIVE,wine,Certan de May 2020,Certan de May,high,corroborated x3,PUSHED
certan-de-may-half-2019,gid://shopify/Product/7985292017820,ACTIVE,wine,Certan de May Half 2019,Certan de May,high,corroborated x3,PUSHED
certan-de-may-half-2020,gid://shopify/Product/7975622213788,ARCHIVED,wine,Certan de May Half 2020,Certan de May,high,corroborated x3,PUSHED
chablis-montee-de-tonnerre-samuel-billaud-2022,gid://shopify/Product/7951310520476,ACTIVE,wine,Chablis Montee de Tonnerre Samuel Billaud 2022,Samuel Billaud,high,corroborated x2 (hand-corrected),PUSHED
chablis-montee-de-tonnerre-samuel-billaud-2023,gid://shopify/Product/7951935799452,ARCHIVED,wine,Chablis Montee de Tonnerre Samuel Billaud 2022,Samuel Billaud,high,corroborated x2 (hand-corrected),PUSHED
chambertin-clos-de-beze-armand-rousseau-1993,gid://shopify/Product/7952611344540,ACTIVE,wine,Chambertin Clos de Beze Armand Rousseau 1993,Armand Rousseau,high,corroborated x2 (hand-corrected),PUSHED
chambertin-clos-de-beze-armand-rousseau-2009,gid://shopify/Product/7952647258268,ACTIVE,wine,Chambertin Clos de Beze Armand Rousseau 2009,Armand Rousseau,high,corroborated x2 (hand-corrected),PUSHED
chambolle-musigny-georges-roumier-1996,gid://shopify/Product/7951380742300,ACTIVE,wine,Chambolle Musigny Georges Roumier 1993,Georges Roumier,high,corroborated x2,PUSHED
charbonnel-et-walker-caramelised-biscuit-thins,gid://shopify/Product/7693190004892,DRAFT,Thins,Charbonnel et walker Caramelised Biscuit Thins,Charbonnel et Walker,high,known-brand,PUSHED
charbonnel-et-walker-elton-john-piano-gift-box,gid://shopify/Product/7693830750364,DRAFT,Chocolate,Charbonnel et walker Elton John Piano Gift Box,Charbonnel et Walker,high,known-brand,PUSHED
