type,handle,domain,url
article,know-the-difference-between-vodka-and-gin,distilleryofmodernart.com,https://distilleryofmodernart.com/7-things-you-didnt-know-about-the-al
article,7-things-to-do-in-london-during-the-lockdown,li.me,https://www.li.me/
article,7-things-to-do-in-london-during-the-lockdown,ubereats.com,https://www.ubereats.com/gb
article,7-things-to-do-in-london-during-the-lockdown,just-eat.co.uk,https://www.just-eat.co.uk/
article,7-things-to-do-in-london-during-the-lockdown,deliveroo.co.uk,https://deliveroo.co.uk/
article,7-things-to-do-in-london-during-the-lockdown,builderdepot.co.uk,https://www.builderdepot.co.uk/
article,7-things-to-do-in-london-during-the-lockdown,diy.com,https://www.diy.com/
article,10-classic-cocktails-for-world-cocktail-day,discountcream.co.uk,https://www.discountcream.co.uk/flavoured-syrups--sauces-8-c.asp
article,10-classic-cocktails-for-world-cocktail-day,discountcream.co.uk,https://www.discountcream.co.uk/cocktail-syrups-236-c.asp
article,can-black-tea-cure-your-hangover,rareteacompany.com,https://rareteacompany.com/collections/black-tea
article,9-best-flowers-and-champagne-delivery-options-for-2026,rankpill.com,https://rankpill.com
article,marketplace-wine-guide-your-essential-2026-buying-handbook,rankpill.com,https://rankpill.com
article,luxury-alcohol-gift-hampers-the-best-picks-for-christmas-special-occasions,luxuryspirits.com,https://www.luxuryspirits.com
article,luxury-alcohol-gift-hampers-the-best-picks-for-christmas-special-occasions,corporategiftshampers.co.uk,https://www.corporategiftshampers.co.uk
article,discover-off-license-stores-close-to-you,drinks-house.co.uk,https://www.drinks-house.co.uk/alcohol-licensing-hours
article,discover-off-license-stores-close-to-you,drinks-house.co.uk,https://www.drinks-house.co.uk/alcohol-licensing-hours
article,discover-off-license-stores-close-to-you,drinks-house.co.uk,https://www.drinks-house.co.uk/alcohol-licensing-hours
article,discover-off-license-stores-close-to-you,drinks-house.co.uk,https://www.drinks-house.co.uk/london-alcohol-delivery
article,top-vodka-brands-with-lowest-calorie-count,absolut.com,https://www.absolut.com/uk-en/nutrition/
article,top-vodka-brands-with-lowest-calorie-count,smirnoff.com,https://www.smirnoff.com/nutrition
article,top-vodka-brands-with-lowest-calorie-count,graygoose.com,https://www.graygoose.com/en-nz/faq
article,top-vodka-brands-with-lowest-calorie-count,titosvodka.com,https://www.titosvodka.com/faq/
article,top-vodka-brands-with-lowest-calorie-count,skyyvodka.com,https://www.skyyvodka.com/
page,red-wine-delivery,balthazarlondon.com,https://balthazarlondon.com/
page,red-wine-delivery,balthazarlondon.com,https://balthazarlondon.com/
page,red-wine-delivery,balthazarlondon.com,https://balthazarlondon.com/
page,red-wine-delivery,bibendum-wine.co.uk,https://www.bibendum-wine.co.uk/
page,red-wine-delivery,carluccios.com,https://www.carluccios.com/
page,red-wine-delivery,gordonramsayrestaurants.com,https://www.gordonramsayrestaurants.com/gordon-ramsay-bar-grill/
page,red-wine-delivery,caprice-holdings.co.uk,https://caprice-holdings.co.uk/
page,red-wine-delivery,joel-robuchon.com,https://www.joel-robuchon.com/_dev/en/restaurants-londres-atelier.php
page,red-wine-delivery,mrestaurants.co.uk,https://mrestaurants.co.uk/
page,red-wine-delivery,quovadissoho.co.uk,https://www.quovadissoho.co.uk/
page,red-wine-delivery,rokaakor.com,https://www.rokaakor.com/
page,red-wine-delivery,sohohouse.com,https://www.sohohouse.com/
page,red-wine-delivery,zumarestaurant.com,https://zumarestaurant.com/locations/london/
page,red-wine-delivery,balthazarlondon.com,https://balthazarlondon.com/
page,privacy-policy,winedom.co.uk,https://winedom.co.uk/contact-us
