resource_kind,handle,gid,current_href,should_be
article,after-hours-liquor-understanding-late-night-alcohol-access,gid://shopify/Article/1023149048183,https://drinkshouse247.co.uk/pages/champagne-delivery-london,/collections/champagne
article,alcohol-delivery-3am-london,gid://shopify/Article/1025024622967,/pages/challenge-21,/pages/challenge-25
article,alcohol-delivery-to-office-london,gid://shopify/Article/1025024754039,/pages/challenge-21,/pages/challenge-25
article,alcoholic-beverage-delivery-guide-your-essential-2026-handbook,gid://shopify/Article/1023014830455,https://drinkshouse247.co.uk/pages/challenge-21,/pages/challenge-25
article,best-birthday-alcohol-gift-hamper-ideas,gid://shopify/Article/1023366889847,https://drinkshouse247.co.uk/pages/champagne-delight-buying-champagne-online-at-drinks-house-247,/collections/champagne
article,bulk-alcohol-delivery-london,gid://shopify/Article/1023752962423,https://drinkshouse247.co.uk/pages/champagne-delight-buying-champagne-online-at-drinks-house-247,/collections/champagne
article,can-you-gift-alcohol-uk,gid://shopify/Article/1024140607863,https://drinkshouse247.co.uk/pages/champagne-gifts-delivery,/pages/send-a-gift-of-champagne
article,celebrate-from-afar-same-day-champagne-wine-delivery-in-the-uk-for-birthdays-and-anniversaries,gid://shopify/Article/559877259420,https://drinkshouse247.co.uk/products/dom-perignon-champagne,/products/dom-perignon-champagne-2013
article,champagne-gifts-london-same-day-delivery-perfect-for-valentines-day-2026,gid://shopify/Article/1022993334647,/pages/valentines-day-alcohol-delivery-london-uk-2026,/pages/valentines-day-alcohol-delivery-london-uk-2026-romantic-gifts-party-drinks-house-247
article,choosing-corporate-wine-gift-boxes,gid://shopify/Article/1023384027511,https://drinkshouse247.co.uk/pages/champagne-delivery-in-uk,/pages/uk-champagne-delivery
article,christmas-alcohol-gift-guide,gid://shopify/Article/1024048464247,https://drinkshouse247.co.uk/pages/champagne-delivery-uk-bringing-elegance-to-your-doorstep,/pages/uk-champagne-delivery
article,christmas-party-planning-why-to-book-your-drinks-early,gid://shopify/Article/1024693404023,https://www.drinkshouse247.co.uk/collections/pre-mixed-cases,/collections/wine-box-6-bottles
article,corporate-champagne-gifts-london,gid://shopify/Article/1023764300151,https://drinkshouse247.co.uk/pages/a-sparkling-gesture-sending-champagne-as-a-gift,/pages/send-a-gift-of-champagne
article,craft-beer-styles-explained-ipa-stout-lager-and-more,gid://shopify/Article/1024691732855,https://www.drinkshouse247.co.uk/collections/pre-mixed-cases,/collections/wine-box-6-bottles
article,dinner-party-cocktail-ideas,gid://shopify/Article/393051340956,https://www.drinkshouse247.co.uk/products/captain-morgan-white-rum?_pos=1&amp;_sid=d186b5e7f&amp;_ss=r,/collections/rum?_pos=1&amp;_sid=d186b5e7f&amp;_ss=r
article,dom-perignon-delivery-london,gid://shopify/Article/1023665963383,https://drinkshouse247.co.uk/pages/buy-champagne-online,/collections/champagne
article,dom-perignon-gift-review-is-it-worth-it,gid://shopify/Article/1023846023543,https://drinkshouse247.co.uk/pages/champagne-gifts-delivery,/pages/send-a-gift-of-champagne
article,end-of-summer-cocktails-to-see-off-august,gid://shopify/Article/1024692060535,https://www.drinkshouse247.co.uk/collections/pre-mixed-cases,/collections/wine-box-6-bottles
article,fine-wine-buying-guide,gid://shopify/Article/1024229540215,https://drinkshouse247.co.uk/pages/happy-birthday-champagne,/pages/champagne-gifts-birthday
article,how-to-make-rum-punch,gid://shopify/Article/391748649116,https://www.drinkshouse247.co.uk/collections/rum/products/captain-morgan-white-rum,/collections/rum
