product_id,title,jsonld_price,live_min,live_max,diff
15550731714935,The Malt Collector's Hamper,375.0,290.0,290.0,85.0
15550691869047,The Murakami Prestige Hamper,695.0,620.0,620.0,75.0
4482647523465,Don Julio 1942 Tequila 70cl,225.0,165.0,165.0,60.0
14982811779447,Dom Pérignon Vintage 2008 – 75cl,366.0,395.0,395.0,-29.0
15536913023351,Kweichow Moutai Flying Fairy Baijiu 50cl,525.0,499.0,499.0,26.0
15547348091255,The Provence Rosé Case (6 x 75cl),199.0,180.0,180.0,19.0
15547346747767,The Great British Hamper,145.0,155.0,155.0,-10.0
15536910401911,Grappa Sarpa di Poli 70cl,67.0,74.0,74.0,-7.0
7473450778780,Glenfiddich 12 Year Old Single Malt Whisky 70cl,58.0,51.3,51.3,6.7
15536913580407,Pallini Limoncello 70cl,28.0,33.0,33.0,-5.0
15547347337591,The Demi-Sec & Chocolate Hamper,155.0,160.0,160.0,-5.0
15547532444023,Herzog Prince Vineyard Chenin Blanc 2023 (Kosher) 75cl,60.0,65.0,65.0,-5.0
15536911614327,Redbreast 12 Year Old Irish Single Pot Still Whiskey 70cl,78.0,82.0,82.0,-4.0
1970722373694,Hennessy,58.0,54.0,54.0,4.0
15536914530679,Metaxa 12 Stars 70cl,46.0,49.0,49.0,-3.0
15547150664055,Carmel Signature Mediterranean 2 Vats 2020 (Kosher) 75cl,47.0,50.0,50.0,-3.0
15536971186551,Suze Gentiane Aperitif 70cl,26.0,28.0,28.0,-2.0
15542083322231,González Byass Alfonso Oloroso Seco Sherry 75cl,26.0,28.0,28.0,-2.0
