handle,product_gid,product_title_unchanged,new_seo_title,new_len,status
champagne-pierre-peters-les-chetillons-cuvee-speciale-blanc-de-blancs,gid://shopify/Product/7695544123548,"Champagne Pierre Péters, `Les Chétillons` Cuvée Spéciale Blanc de Blancs 75cl","Pierre Péters, Les Chétillons Cuvée Spéciale Blanc de Blancs",60,applied
domaine-roger-belland-chassagne-montrachet-1er-cru-morgeot-clos-pitois,gid://shopify/Product/7891838501020,"Domaine Roger Belland, Chassagne-Montrachet 1er Cru `Morgeot Clos Pitois`","Roger Belland, Chassagne-Montrachet Morgeot Clos Pitois",55,applied
domaine-roger-belland-puligny-montrachet-1er-cru-les-champs-gains,gid://shopify/Product/7891874152604,"Domaine Roger Belland, Puligny-Montrachet 1er Cru `Les Champs Gains`","Domaine Roger Belland, Puligny-Montrachet Les Champs Gains",58,applied
jean-claude-boisset-chassagne-montrachet-1er-cru-les-chenevottes,gid://shopify/Product/7891917504668,Jean Claude Boisset Chassagne Montrachet 1er Cru Les Chenevottes,Jean Claude Boisset Chassagne Montrachet Les Chenevottes,56,applied
domaine-borgeot-chassagne-montrachet-1er-cru-clos-st-jean,gid://shopify/Product/7892022198428,"Domaine Borgeot, Chassagne-Montrachet 1er Cru `Clos St. Jean`","Domaine Borgeot, Chassagne-Montrachet 1er Cru Clos St. Jean",59,applied
domaine-jean-noel-gagnard-chassagne-montrachet-les-caillerets-2018,gid://shopify/Product/7895274061980,"Domaine Jean-Noël Gagnard, Chassagne-Montrachet 1er Cru `Les Caillerets` 2018","Jean-Noël Gagnard, Chassagne-Montrachet Les Caillerets 2018",59,applied
domaine-jean-noel-gagnard-chassagne-montrachet-les-chaumes-2021,gid://shopify/Product/7895404576924,"Domaine Jean-Noël Gagnard, Chassagne-Montrachet `Les Chaumes` 2021","Jean-Noël Gagnard, Chassagne-Montrachet Les Chaumes 2021",56,applied
domaine-jean-noel-gagnard-chassagne-montrachet-cuvee-lestimee-rouge,gid://shopify/Product/7895413358748,"Domaine Jean-Noël Gagnard, Chassagne-Montrachet Cuvée L'Estimée Rouge 2020","Jean-Noël Gagnard, Chassagne-Montrachet Cuvée L'Estimée 2020",60,applied
maison-caroline-lestime-chassagne-montrachet-1er-cru-la-maltroie-2018,gid://shopify/Product/7895512678556,"Maison Caroline Lestimé, Chassagne-Montrachet 1er Cru `La Maltroie` 2018","Caroline Lestimé, Chassagne-Montrachet La Maltroie 2018",55,applied
maison-caroline-lestime-chassagne-montrachet-champ-derriere-2018,gid://shopify/Product/7895915135132,"Maison Caroline Lestimé, Chassagne-Montrachet `Champ Derrière` 2018","Caroline Lestimé, Chassagne-Montrachet Champ Derrière 2018",58,applied
david-moret-chassagne-montrachet-1er-cru-abbaye-de-morgeot-2022,gid://shopify/Product/7895940366492,"David Moret, Chassagne-Montrachet 1er Cru 'Abbaye de Morgeot' 2022","David Moret, Chassagne-Montrachet 'Abbaye de Morgeot' 2022",58,applied
moet-chandon-collection-imperiale-creation-no-1-non-vintage,gid://shopify/Product/8052745765020,Moet & Chandon Collection Impériale Création No. 1 Non Vintage,Moet & Chandon Collection Impériale Création No. 1,50,applied
taittinger-comtes-de-champagne-blanc-de-blancs-brut-2011-6l,gid://shopify/Product/8206694809756,Taittinger Comtes de Champagne Blanc de Blancs Brut 2011 (6L),Taittinger Comtes de Champagne Blanc de Blancs Brut 2011,56,applied
vina-tondonia-tondonia-reserva-rioja-2011-magnum,gid://shopify/Product/8206735966364,"López de Heredia Viña Tondonia Tinto, Reserva 2011 - 150cl Magnum Rioja - Spain","López de Heredia Viña Tondonia, Reserva 2011 - Magnum Rioja",59,applied
dom-perignon-lenny-kravitz-limited-edition-vintage-2008-gift-box-75cl,gid://shopify/Product/15353815630199,Dom Perignon Lenny Kravitz Limited Edition Vintage 2008-Gift Box 75cl,Dom Pérignon Lenny Kravitz Limited Edition 2008 Gift Box,56,applied
dom-perignon-rose-x-lenny-kravitz-vintage-2006-gift-box-75cl,gid://shopify/Product/15354032456055,Dom Pérignon Rosé x Lenny Kravitz Vintage 2006 - Gift Box 75cl,Dom Pérignon Rosé x Lenny Kravitz Vintage 2006 - Gift 75cl,58,applied
asombroso-10-year-old-especial-de-rouge-extra-anejo-tequila-75cl,gid://shopify/Product/15356395520375,AsomBroso 10 Year Old Especial de Rouge Extra Anejo Tequila 75cl,AsomBroso 10 Year Old Especial de Rouge Extra Anejo Tequila,59,applied
domaine-evremond-classic-cuvee-brut-edition-1-nv-75cl,gid://shopify/Product/15384420024695,Domaine Evremond Classic Cuvee Brut Edition 1 NV - Gift Box 75cl,Domaine Evremond Classic Cuvee Brut Edition 1 NV - Gift 75cl,60,applied
