ID,Title,Note
1335837524072,Cranberry Juice,no confident brand - set manually
1335837589608,Apple Juice,no confident brand - set manually
1335837622376,Orange Juice,no confident brand - set manually
1335838179432,Lemonade,no confident brand - set manually
1335838507112,Tonic Water,no confident brand - set manually
1337647431784,Pack of Ice Cubes,no confident brand - set manually
1338371670120,Pinot Grigio Canaletto,no confident brand - set manually
1338371702888,Sauvignon Blanc,no confident brand - set manually
1338371833960,"Mas La Chevalière, Chardonnay IGP Pays d'Oc 70cl",no confident brand - set manually
1967389638718,Water 1L,no confident brand - set manually
1970741084222,Pinot Grigio Rose,no confident brand - set manually
1970744950846,"Barons Edmond Benjamin de Rothschild Haut-Médoc, 75cl",no confident brand - set manually
1970754191422,Made in Mendoza Malbec 75cl,no confident brand - set manually
1995481612350,Baron Maxime Cote D'Aix en Provence Rosé 75cl,no confident brand - set manually
2009251479614,Soda Water,no confident brand - set manually
2016163758142,Zaccagnini,no confident brand - set manually
2138385580094,Ginger Ale,no confident brand - set manually
2223683305534,Pineapple juice,no confident brand - set manually
4365698105481,Château Les Maurins Bordeaux 75cl,no confident brand - set manually
4628730478729,EXTRA REFRESHER'S SPEARMINT,no confident brand - set manually
5771305844892,Mixed Red,no confident brand - set manually
6629438455964,Cheese-Platter,no confident brand - set manually
6970509000860,Service Fee,no confident brand - set manually
7289825558684,French White Pre-Mixed Case,no confident brand - set manually
7289826672796,Seafood Pre-Mixed Case,no confident brand - set manually
7289827098780,Taste of France Pre-Mixed Case,no confident brand - set manually
7289827426460,Rich Red Pre-Mixed Case,no confident brand - set manually
7289827623068,Grand Reserva Pre-Mixed Case,no confident brand - set manually
7289828343964,Finest of Valley Pre-Mixed Case,no confident brand - set manually
7458453684380,Rioja Gran Reserva Decanter Gift Set,no confident brand - set manually
7482392510620,Château les Eyquem Margaux 2021,no confident brand - set manually
7483063533724,1848 Reserve Cabernet Sauvignon 75cl,no confident brand - set manually
7483121696924,Bordeaux Rouge 2018 75cl,no confident brand - set manually
7483254112412,Chardonnay Royale French 75cl,no confident brand - set manually
7616582058140,Heidsieck & Co. Monopole Premier Cru Champagne 75cl,no confident brand - set manually
7616597688476,Baron Maxime Brut Gold Reserve 75cl,no confident brand - set manually
7618317942940,Pommery Brut Apanage champagne 75cl,no confident brand - set manually
7664462168220,"Roberto Cavalli Watermelon Vodka, 1L",no confident brand - set manually
7664467837084,Haku Vodka 70cl,no confident brand - set manually
7664881172636,The Kurayoshi 12 Year Whisky 70cl,no confident brand - set manually
7664882909340,"Casa Marzoni Appassimento 2021, 75cl",no confident brand - set manually
