product_id,handle,title,blocks_removed
1334802808936,,Grey Goose Vodka 70cl,1
1334807036008,,Absolut Vodka 70cl,1
1334814998632,,Belvedere Vodka 70cl,1
1334815096936,,Smirnoff Red Label 70cl,1
1334816178280,,Jack Daniel's Old No 7 Whiskey 70cl,1
1334816374888,,Johnnie Walker Black Label 12 Year Whisky 70cl,1
1334816735336,,Johnnie Walker Blue Label 70cl,1
1334836101224,,Corona Extra Beer 330ml Bottles,1
1334842196072,,Peroni,1
1334844358760,,Heineken Lager Beer 440ml Cans,1
1335822090344,,Moët & Chandon Impérial Brut Champagne 75cl,1
1335822188648,,Laurent-Perrier Cuvée Rosé Brut NV Champagne with Gift Box 75cl,1
1335822319720,,Veuve Clicquot Yellow Label Brut Champagne 75cl,1
1335822385256,,"Dom Perignon Champagne 2013, 75cl in Gift Box",1
1335822549096,,Armand de Brignac Brut Gold Champagne 75cl,1
1335837524072,,Cranberry Juice,1
1335837589608,,Apple Juice,1
1335837622376,,Orange Juice,1
1335837753448,,Red Bull Single Can,1
1335837884520,,Redbull x4 Pack,1
1335837982824,,Coke,1
1335838179432,,Lemonade,1
1335838408808,,Schweppes Lemonade,1
1335838507112,,Tonic Water,1
1336565465192,,Ciroc Vodka 70cl,1
1337647104104,,Pringles Crisps Original,1
1337647136872,,Sour Cream and Onion Pringles,1
1337647431784,,Pack of Ice Cubes,1
1338371670120,,Pinot Grigio Canaletto,1
1338371702888,,Sauvignon Blanc,1
1338371833960,,"Mas La Chevalière, Chardonnay IGP Pays d'Oc 70cl",1
1338371965032,,Casillero Del Diablo Reserva Especial Cabernet Sauvignon 75cl,1
1967324495934,,Baileys' The Original Irish Cream 70cl,1
1967330820158,,Gordon's Dry Gin 1L,1
1967335669822,,Tanqueray No. Ten 10 Gin 70cl,1
1967339470910,,Bacardi Carta Blanca Rum 70cl,1
1967344222270,,Jägermeister 70cl,1
1967352152126,,Bombay Sapphire Dry Gin 70cl,1
1967357722686,,Chivas Regal 12 Years,1
1967361884222,,Disaronno 70cl,1
1967369977918,,Johnnie Walker Double Black Label 70cl,1
1967389638718,,Water 1L,1
1970718670910,,Malibu Caribbean Rum 1L,1
1970722373694,,Hennessy,1
1970723881022,,Moët Ice Imperial Champagne 75cl,1
1970727190590,,Strongbow Dark Fruit Cider,1
1970741084222,,Pinot Grigio Rose,1
1970743312446,,Louis Latour “Domaine de Valemoissine” Pinot Noir 75cl,1
1970744950846,,"Barons Edmond Benjamin de Rothschild Haut-Médoc, 75cl",1
1970754191422,,Made in Mendoza Malbec 75cl,1
1970757959742,,Louis Jadot Chablis 75cl,1
1971822854206,,Captain Morgan Spiced Rum 70cl,1
1971826458686,,Jose Cuervo Gold Tequila,1
1971848773694,,Kronenbourg,1
1973082161214,,Della Vite Superiore D.O.C.G Prosecco 75cl,1
1979828142142,,Louis Roederer Cristal 2015 Champagne 75cl,1
1979829223486,,Patron XO Cafe Tequila,1
1979829813310,,Patron Silver Tequila 70cl,1
1979831058494,,Aurora Crystal Head Vodka 70cl,1
1987812458558,,Moet & Chandon Imperial Rose Champagne Gift Box 75cl,1
1989233377342,,Grey Goose Magnum 1.75L,1
1992603631678,,Courvoisier V.S 70cl,1
1995481612350,,Baron Maxime Cote D'Aix en Provence Rosé 75cl,1
2002479317054,,Bell's Whisky 1L,1
2003419529278,,Diet Coke,1
2004162445374,,Hendrick's Gin 70cl,1
2009251479614,,Soda Water,1
2009279201342,,Hennessy Black 70cl,1
2009282773054,,Hennessy X.O Extra Old,1
2009285886014,,Remy Martin Cognac XO 70cl,1
2009288507454,,Armand de Brignac Brut Rosé Champagne 75cl,1
2009302335550,,LUC BELAIRE ROSE,1
2009302761534,,LUC BELAIRE GOLD,1
2009303154750,,LUC BELAIRE LUXE RARE 75cl,1
2009304301630,,Pink Gordon's Gin,1
2009309806654,,Bumbu Rum 70cl,1
2009311608894,,Jose Cuervo Silver Tequila,1
2009313738814,,Captain Morgan Dark Rum 70cl,1
2009316261950,,Courvoisier 35cl,1
2016161038398,,Remy Martin v.s.o.p 70cl,1
2016162644030,,Martell 70cl,1
2016163758142,,Zaccagnini,1
2019175497790,,GUINNESS,1
2125831012414,,Famous Grouse 70cl,1
2138385580094,,Ginger Ale,1
2161007591486,,"López de Heredia Viña Tondonia Tinto, Reserva 2011 - 75cl Rioja - Spain",1
2161013850174,,Bollinger Special Cuvee Brut Champagne 75cl,1
2161024303166,,Miraval Rose Cotes De Provence 75cl,1
2212317691966,,Smirnoff Red Label Vodka 35cl,1
2223683305534,,Pineapple juice,1
2252531859518,,Aperol Spritz 70cl,1
2262816063550,,Proper Twelve Irish Whiskey,1
4365698105481,,Château Les Maurins Bordeaux 75cl,1
4384631980169,,NUROFEN 200mg Caplets,1
4482647523465,,Don Julio 1942 Tequila 70cl,1
4515759489161,,"Maison Louis Latour Chardonnay 2019, 75cl",1
