handle,title,schema_field,schema_price,live_min,live_max
carmel-signature-mediterranean-2-vats-2020-kosher-75cl,Carmel Signature Mediterranean 2 Vats 2020 (Kosher) 75cl,price,47.0,50.0,50.0
dom-perignon-vintage-2008-75cl,Dom Pérignon Vintage 2008 – 75cl,price,366.0,395.0,395.0
don-julio-1942,Don Julio 1942 Tequila 70cl,price,225.0,165.0,165.0
glenfiddich-12-year-old-single-malt-whisky,Glenfiddich 12 Year Old Single Malt Whisky 70cl,price,58.0,51.3,51.3
gonzalez-byass-alfonso-oloroso-seco-sherry-75cl,González Byass Alfonso Oloroso Seco Sherry 75cl,price,26.0,28.0,28.0
grappa-sarpa-di-poli-70cl,Grappa Sarpa di Poli 70cl,price,67.0,74.0,74.0
hennessy-brandy-cognac,Hennessy,price,58.0,54.0,54.0
kweichow-moutai-flying-fairy-baijiu-50cl,Kweichow Moutai Flying Fairy Baijiu 50cl,price,525.0,499.0,499.0
metaxa-12-stars-70cl,Metaxa 12 Stars 70cl,price,46.0,49.0,49.0
pallini-limoncello-70cl,Pallini Limoncello 70cl,price,28.0,33.0,33.0
redbreast-12-year-old-irish-single-pot-still-whiskey-70cl,Redbreast 12 Year Old Irish Single Pot Still Whiskey 70cl,price,78.0,82.0,82.0
suze-gentiane-aperitif-70cl,Suze Gentiane Aperitif 70cl,price,26.0,28.0,28.0
the-demi-sec-amp-chocolate-hamper,The Demi-Sec & Chocolate Hamper,price,155.0,160.0,160.0
the-great-british-hamper,The Great British Hamper,price,145.0,155.0,155.0
the-provence-rose-case-6-x-75cl,The Provence Rosé Case (6 x 75cl),price,199.0,180.0,180.0
